aggregation,sensor,mean,median,std
Daily means (D),Sensor 1,0.7374423840984613,0.73621875,0.020365073872487385
Daily means (D),Sensor 2,0.6493743940538962,0.6747256944444445,0.09234062156625386
Daily means (D),Sensor 3,0.7127821975350807,0.721125,0.038755539200460744
Daily means (D),Sensor 4,0.6833122931446864,0.6869999999999999,0.04383865422274776
Daily means (D),Sensor 5,0.7044743634680546,0.7278680555555556,0.06497880694388411
Daily means (D),Sensor 6,0.7444753112151302,0.7545798611111111,0.03567683558269883
Daily means (D),Sensor 7,0.6877520889214482,0.6998541666666667,0.03985227200446147
Daily means (D),Sensor 8,0.38218100945797284,0.3633645833333333,0.0886578251839893
Daily means (D),Sensor 9,0.658304934278425,0.6728611111111111,0.05256413636294005
Daily means (D),Sensor 10,0.7131904833615593,0.7167465277777778,0.021478694235618802
Daily means (D),Sensor 11,0.6620762099688151,0.6612222222222223,0.03167019770770256
Daily means (D),Sensor 12,0.7903348534847776,0.8039097222222222,0.04646079250681751
Weekly means (W),Sensor 1,0.7373872070419111,0.7371986607142857,0.018790073775960352
Weekly means (W),Sensor 2,0.6501822054064451,0.6740758928571429,0.08862705756457201
Weekly means (W),Sensor 3,0.712395408629366,0.7244015376984126,0.03699936888769719
Weekly means (W),Sensor 4,0.681143092716228,0.6903433811249589,0.04341897265656548
Weekly means (W),Sensor 5,0.6958440211454658,0.7268263888888888,0.06889347418189129
Weekly means (W),Sensor 6,0.7438172664061564,0.7565763888888889,0.03494679811486963
Weekly means (W),Sensor 7,0.6877330397647402,0.7001624503968253,0.03815445862976521
Weekly means (W),Sensor 8,0.38621728656367227,0.366546130952381,0.09360694211173198
Weekly means (W),Sensor 9,0.6587750347644179,0.6775096726190476,0.049890192941435686
Weekly means (W),Sensor 10,0.713266690737041,0.7179756944444444,0.020231415393759455
Weekly means (W),Sensor 11,0.6620288996259226,0.6645466269841269,0.027742471390682737
Weekly means (W),Sensor 12,0.7902566063830818,0.8057904265873016,0.04414778141251278
Monthly means (MS),Sensor 1,0.7374127048930477,0.7401331018518518,0.015324848052137597
Monthly means (MS),Sensor 2,0.6501436373694456,0.6608691716269841,0.0821932707742838
Monthly means (MS),Sensor 3,0.7119699058776183,0.7251365479293368,0.03215345265922247
Monthly means (MS),Sensor 4,0.6817781548951072,0.690328125,0.03942722139026342
Monthly means (MS),Sensor 5,0.6864901534365303,0.7009312499999999,0.06812451778456781
Monthly means (MS),Sensor 6,0.7434902980376265,0.7560875496031746,0.030994391094924814
Monthly means (MS),Sensor 7,0.6877582890653491,0.7004419345496669,0.0331397442474841
Monthly means (MS),Sensor 8,0.3881364306741791,0.3703984788359789,0.09472734477471394
Monthly means (MS),Sensor 9,0.6584319302379312,0.6764182098765432,0.04557532844227519
Monthly means (MS),Sensor 10,0.7131612639548739,0.7185532034050178,0.017135766573572384
Monthly means (MS),Sensor 11,0.6618387152318851,0.667946593915344,0.02132858988887698
Monthly means (MS),Sensor 12,0.7896182361852072,0.8036715213981627,0.03948040590913762
